Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Pedestrian_movement,Cause_of_accident,Accident_severity,Hour,Minutes
Wednesday,31-50,Male,Elementary school,Below 1yr,Lorry (41?100Q),Owner,1-2yr,Other,other,Steep grade downward with mountainous terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,na,na,na,na,Not a Pedestrian,Overturning,Slight Injury,15,30
Wednesday,31-50,Male,Junior high school,Below 1yr,Automobile,Owner,2-5yrs,Office areas,One way,Steep grade downward with mountainous terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Moving Backward,na,na,na,na,Not a Pedestrian,Changing lane to the left,Slight Injury,15,30
Wednesday,Unknown,Male,Junior high school,5-10yr,Automobile,Owner,Unknown,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,No distancing,Slight Injury,15,30
Thursday,31-50,Male,Junior high school,5-10yr,Public (13?45 seats),Owner,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Pedestrian,Female,18-30,3,Crossing from driver's nearside,Moving Backward,Serious Injury,18,55
Saturday,Unknown,Male,High school,5-10yr,Public (13?45 seats),Organization,2-5yrs,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Female,18-30,3,Not a Pedestrian,No priority to vehicle,Slight Injury,2,44
Saturday,Unknown,Female,Junior high school,5-10yr,Lorry (41?100Q),Owner,Unknown, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Going straight,na,na,na,na,Not a Pedestrian,No priority to vehicle,Slight Injury,1,0
Thursday,31-50,Male,Junior high school,2-5yr,Lorry (41?100Q),Governmental,Unknown,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Wet or damp,Darkness - lights lit,Normal,Collision with pedestrians,2,1,Going straight,Pedestrian,Female,31-50,3,Not a Pedestrian,No distancing,Slight Injury,23,35
Thursday,Unknown,Male,Elementary school,5-10yr,Public (12 seats),Owner,Unknown,Office areas,One way,Tangent road with flat terrain,No junction,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,No distancing,Slight Injury,23,35
Saturday,31-50,Male,Junior high school,2-5yr,Other,Governmental,Below 1yr,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Darkness - lights lit,Normal,Collision with roadside objects,1,1,Going straight,na,na,na,na,Not a Pedestrian,Overtaking,Slight Injury,3,40
Saturday,31-50,Male,Junior high school,Below 1yr,Lorry (41?100Q),Owner,Unknown,Other,One way,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,Driving under the influence of drugs,Slight Injury,11,30
Saturday,Over 51,Male,Elementary school,2-5yr,Automobile,Owner,Unknown, Industrial areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Female,31-50,3,Crossing from driver's nearside,Changing lane to the right,Slight Injury,11,30
Saturday,18-30,Male,Junior high school,2-5yr,Other,Owner,Unknown, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the left,Slight Injury,23,15
Saturday,18-30,Male,Junior high school,2-5yr,Motorcycle,Owner,2-5yrs,Residential areas,Undivided Two way,Steep grade downward with mountainous terrain,No junction,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,Driving carelessly,Slight Injury,23,15
Sunday,Unknown,Male,Junior high school,5-10yr,Automobile,Owner,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Other,Pedestrian,Male,31-50,3,"In carriageway, statioNot a Pedestrianry - not crossing  (standing or playing)",Moving Backward,Slight Injury,2,31
Tuesday,Over 51,Male,Junior high school,5-10yr,Automobile,Owner,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Moving Backward,Slight Injury,14,30
Tuesday,Unknown,Female,Junior high school,5-10yr,Lorry (41?100Q),Owner,1-2yr,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,Changing lane to the right,Slight Injury,14,30
Thursday,Unknown,Female,Junior high school,5-10yr,Automobile,Owner,Above 10yr, Outside rural areas,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Male,Under 18,3,Not a Pedestrian,No priority to vehicle,Slight Injury,14,30
Thursday,31-50,Male,Junior high school,2-5yr,Public (> 45 seats),Owner,Above 10yr, Church areas,Two-way (divided with broken lines road marking),Steep grade downward with mountainous terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,na,na,na,na,Not a Pedestrian,Driving at high speed,Slight Injury,11,30
Friday,31-50,Male,Junior high school,Below 1yr,Lorry (41?100Q),Owner,Unknown,Office areas,other,Tangent road with mountainous terrain and,Y Shape,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,Driving under the influence of drugs,Slight Injury,11,25
Friday,Unknown,Male,Junior high school,1-2yr,Public (> 45 seats),Owner,Above 10yr, Church areas,Two-way (divided with broken lines road marking),Steep grade downward with mountainous terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the right,Slight Injury,11,25
Saturday,31-50,Male,Junior high school,Below 1yr,Lorry (41?100Q),Owner,Unknown,Office areas,other,Tangent road with mountainous terrain and,Y Shape,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Moving Backward,Driver or rider,Female,18-30,3,Not a Pedestrian,Driving carelessly,Slight Injury,22,0
Saturday,Unknown,Male,Junior high school,Above 10yr,Lorry (41?100Q),Governmental,Unknown,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,No distancing,Slight Injury,22,0
Wednesday,Under 18,Male,Junior high school,Below 1yr,Lorry (41?100Q),Owner,1-2yr,School areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,18-30,3,Not a Pedestrian,Changing lane to the left,Slight Injury,15,30
Wednesday,Under 18,Male,Junior high school,2-5yr,Public (12 seats),Owner,Below 1yr,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,Under 18,2,Not a Pedestrian,No distancing,Slight Injury,15,30
Tuesday,31-50,Male,Junior high school,1-2yr,Public (12 seats),Owner,Unknown,Office areas,other,Tangent road with mountainous terrain and,Y Shape,Dry,Daylight,Normal,Collision with pedestrians,2,1,Going straight,na,na,na,na,Not a Pedestrian,No distancing,Slight Injury,9,57
Tuesday,Unknown,Male,Elementary school,5-10yr,Stationwagen,Owner,Unknown,Rural village areasOffice areas,other,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,Getting off the vehicle improperly,Slight Injury,9,57
Tuesday,31-50,Male,Junior high school,Below 1yr,Lorry (41?100Q),Owner,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Pedestrian,Female,31-50,2,Not a Pedestrian,Overtaking,Slight Injury,18,12
Tuesday,31-50,Male,Junior high school,Below 1yr,Automobile,Owner,Unknown,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,Driving carelessly,Slight Injury,17,6
Tuesday,18-30,Male,Writing & reading,Below 1yr,Pick up upto 10Q,Owner,Unknown,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Collision with pedestrians,2,1,Getting off,na,na,na,na,Not a Pedestrian,Driving under the influence of drugs,Slight Injury,17,6
Tuesday,18-30,Male,Junior high school,1-2yr,Automobile,Owner,Unknown,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Collision with roadside objects,1,1,Going straight,na,na,na,na,Not a Pedestrian,Moving Backward,Slight Injury,8,25
Wednesday,Unknown,Male,Elementary school,5-10yr,Public (13?45 seats),Owner,Unknown,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,Overturning,Slight Injury,23,5
Thursday,31-50,Male,Junior high school,2-5yr,Public (> 45 seats),Owner,Unknown,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Turnover,na,na,na,na,Not a Pedestrian,Driving under the influence of drugs,Slight Injury,6,40
Thursday,Unknown,Male,Junior high school,Below 1yr,Stationwagen,Owner,Unknown,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Driver or rider,Male,18-30,3,Not a Pedestrian,Changing lane to the right,Slight Injury,6,40
Monday,18-30,Male,Writing & reading,5-10yr,Automobile,Owner,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,Over 51,3,Not a Pedestrian,Changing lane to the left,Slight Injury,11,50
Monday,Unknown,Male,Writing & reading,5-10yr,Lorry (41?100Q),Owner,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Passenger,Female,Over 51,3,Not a Pedestrian,No distancing,Slight Injury,11,50
Tuesday,Unknown,Male,Junior high school,5-10yr,Stationwagen,Owner,Unknown,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Passenger,Male,Under 18,3,Not a Pedestrian,No distancing,Slight Injury,9,40
Thursday,31-50,Male,Junior high school,2-5yr,Lorry (41?100Q),Owner,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,No priority to vehicle,Serious Injury,9,5
Thursday,18-30,Male,Junior high school,Above 10yr,Public (12 seats),Owner,2-5yrs,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Pedestrian,Female,31-50,3,Crossing from offside - masked by  parked or statioNot a Pedestrianry vehicle,Moving Backward,Serious Injury,9,5
Friday,31-50,Male,Junior high school,5-10yr,Lorry (41?100Q),Owner,2-5yrs,Residential areas,One way,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,na,na,na,na,Not a Pedestrian,Moving Backward,Slight Injury,9,40
Friday,18-30,Male,Junior high school,Above 10yr,Other,Owner,2-5yrs,School areas,Undivided Two way,Tangent road with mild grade and flat terrain,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,31-50,3,Not a Pedestrian,Getting off the vehicle improperly,Slight Injury,9,40
Thursday,Under 18,Male,Junior high school,2-5yr,Stationwagen,Owner,2-5yrs,Residential areas,Undivided Two way,Tangent road with mild grade and flat terrain,Y Shape,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the left,Slight Injury,22,35
Thursday,18-30,Male,Junior high school,Below 1yr,Automobile,Owner,2-5yrs,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,Changing lane to the left,Slight Injury,20,18
Thursday,31-50,Male,Junior high school,Below 1yr,Public (> 45 seats),Owner,Unknown, Church areas,One way,Tangent road with flat terrain,Crossing,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,No priority to vehicle,Slight Injury,20,18
Friday,31-50,Male,Junior high school,5-10yr,Other,Owner,Unknown,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,Changing lane to the right,Slight Injury,20,0
Friday,31-50,Male,Junior high school,2-5yr,Lorry (41?100Q),Owner,2-5yrs,Other,One way,Tangent road with flat terrain,Crossing,Dry,Darkness - lights lit,Normal,Rollover,2,1,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the right,Slight Injury,20,0
Sunday,18-30,Male,Elementary school,Below 1yr,Automobile,Owner,5-10yrs,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Driving carelessly,Slight Injury,13,15
Sunday,Unknown,Male,Junior high school,2-5yr,Public (> 45 seats),Owner,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Collision with roadside objects,2,1,Other,Driver or rider,Male,31-50,3,Not a Pedestrian,Changing lane to the left,Slight Injury,13,15
Saturday,31-50,Male,Junior high school,5-10yr,Automobile,Owner,Unknown,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Dry,Darkness - lights lit,Normal,Collision with pedestrians,2,2,Other,Driver or rider,Male,31-50,3,Not a Pedestrian,Changing lane to the right,Slight Injury,22,39
Saturday,31-50,Male,High school,Above 10yr,Automobile,Owner,Unknown,Office areas,Two-way (divided with solid lines road marking),Tangent road with flat terrain,Crossing,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,na,na,na,na,Not a Pedestrian,Driving under the influence of drugs,Slight Injury,22,39
Saturday,Over 51,Male,High school,Above 10yr,Pick up upto 10Q,Owner,Unknown,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Male,Under 18,3,Not a Pedestrian,Driving carelessly,Slight Injury,22,39
Sunday,31-50,Male,Junior high school,5-10yr,Public (12 seats),Owner,Unknown,Office areas,One way,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Getting off,Passenger,Male,Under 18,3,Not a Pedestrian,No distancing,Slight Injury,17,18
Sunday,31-50,Male,Elementary school,1-2yr,Lorry (41?100Q),Owner,Unknown,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,na,na,na,na,Not a Pedestrian,No priority to vehicle,Slight Injury,17,18
Friday,18-30,Male,Elementary school,5-10yr,Lorry (41?100Q),Owner,Unknown,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,No priority to vehicle,Slight Injury,8,55
Friday,Unknown,Male,Junior high school,5-10yr,Lorry (41?100Q),Owner,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,2,Not a Pedestrian,No priority to vehicle,Slight Injury,8,55
